"id","serie","number","title"
"37827","Otto ","2"," Op Hete Kolen"
"37828","Tarzan (Classics) "," H03 "," De Schatkamers Van Opar De Gouden Stad"
"37829","Kuifje Weekblad ","1966","24"
"37830","De Avonturen Van Nero En Co "," H03 "," Het Zeespook (Hertekend) (1962)"
"37831","Strijd Classics ","11057"," De Onbetaalbare Professor"
"37832","Dolfi ","3"," Dolfi En Wolfi Op Speurtocht"
"37833","Bruno Brazil ","5"," De Nacht Der Jakhalzen (Helmond)"
"37834","Suske En Wiske Weekblad ","1998","11"
"37835","Illustrated Classics ","115"," Het Sein Staat Op Roof (ic)"
"37836","Donald Duck ","1990","42"
"37837","Robbedoes Weekblad ","1978"," 2090 (Andere scan)"
"37838","Kuifje Weekblad ","1993","17"
"37839","Casper En Hobbes ","3"," Hopsakee En Nu De Wereld"
"37840","Vigor ","2"," Operatie Parel"
"37841","Kronieken Van Panchrysia ","5"," Het Offer"
"37842","Donald Duck ","1991","29"
"37843","Johnny Goodbye ","12"," Het Olympisch Goud"
"37844","Kuifje Weekblad ","1952","23"
"37845","De Avonturen Van Nero En Co ","11"," De Wallabieten (1968)"
"37846","Mickey Mouse "," R02 "," Verjaardagsalbum 2"
"37847","Illustrated Classics ","54"," Het Donkere Fregat"
"37848","Robbedoes Weekblad ","1997","3113"
"37849","Wickie ","37"," De Heilige Kroon Van Donar!"
"37850","Sjors ","1972","13"
"37851","Debbie Stripstory ","1987","5"
"37852","Donald Duck ","2014","18"
"37853","Donald Duck ","1975","22"
"37854","Wild West (Classics) ","43"," Moord Uit Liefde"
"37855","Kuifje Weekblad ","1968","23"
"37856","Yakari ","12"," Yakari En De Coyote"
"37857","Robbedoes Weekblad ","1974","1865"
"37858","Sjors En Sjimmie "," C18 "," Retour Afzender"
"37859","Sigurd "," B07 "," Gevaren Der Bossen"
"37860","NAM! ","2"," Het Tonkin Incident"
"37861","Frommeltje En Voila ","3"," De Ijskoningin"
"37862","Flipje Tiel ","2"," Flipje Gaat Naar School"
"37863","Victoria ","80"," De Langste Dag"
"37864","Jerom "," J01 "," De Tijmtrotter"
"37865","The Darkness ","17"," Deel 17"
"37866","Wickie ","43"," Urse, De Beer"
"37867","Eric De Noorman "," A07 "," Het Stenen Afgodsbeeld"
"37868","Fidel Castro ","1"," Castro"
"37869","Illustrated Classics ","137"," Het Eiland Pitcairn"
"37870","Suske En Wiske Weekblad ","2003","14"
"37871","Lasso ","236"," Betaling In Goud"
"37872","Fantastic Four ","16"," Maskerade"
"37873","De Avonturen Van Nero En Co ","123"," Wonderboy"
"37874","Durfal ","24"," En De Dood Is Een Vrouw Genaamd Zwarte Weduwe"
"37875","Tom Poes (Revue) "," REVB18 "," Tom Poes En De Pruikenmaker"
"37876","Donald Duck ","1958","43"
"37877","Filmstrips ","6"," Belle En Het Beest (Andere scan)"
"37878","Michel Vaillant ","47"," Paniek In Monaco"
"37879","Gunsmoke "," A03 "," Het Lokaas"
"37880","Victor Viespeuk ","2"," De Latere Avonduren Van Victor Viespeuk"
"37881","Zorro ","12"," Het Bloedige Spoor"
"37882","Cleo "," B02 "," Cleo's Eerste Avontuur"
"37883","Kuifje Weekblad ","1989","13"
"37884","De Katamarom ","32"," Het Rommelt Bij De Kribbekatjes"
"37885","DirkJan ","18"," DirkJan 18"
"37886","Losstaande Albums Van Jiro Taniguchi ","5"," De Tedere Jaren"
"37887","Historische Personages ","3"," Nero"
"37888","Major Arcanum ","4"," J.F.K."
"37889","Jan Kordaat ","9"," Het Boze Oog"
"37890","Toenga "," A13 "," Verdwaald"
"37891","Tom & Jerry "," M2015 ","1"
"37892","Lucky Luke ","7"," Dr Doxeys Elixer"
"37893","Eric De Noorman ","31"," De Prooi Van De Rode Rots"
"37894","Superman (Baldakijn) ","16"," Ontsnapping Uit De Zone Der Geesten"
"37895","Archie, De Man Van Staal ","3"," Jacht Op De Schat"
"37896","Max Miller ","1"," Moordkunsten"
"37897","Over Lijken ","1"," Lach 'ns Naar Het Dode Vogeltje!"
"37898","Robbedoes Weekblad ","1975","1948"
"37899","Arthur ","4"," Kulhwch En Olwen"
"37900","Peter Parker, De Spectaculaire Spiderman ","8"," De Gladiator"
"37901","Robbedoes Weekblad ","1992","2836"
"37902","Donald Duck ","2001","4"
"37903","Donald Duck Extra "," 1988 06 "," Sheriff In Het Nauw"
"37904","K�rioth ","2"," Zwarte Ster"
"37905","De Rode Ridder (Kleur) ","228"," De Verborgen Vesting"
"37906","De Duivels Van Alexia ","1"," De Erfenis"
"37907","Piet Pienter En Bert Bibber ","21"," Straalgoud"
"37908","Kuifje Weekblad ","1968","15"
"37909","Sjors En Sjimmie Stripblad ","1992","2"
"37910","Pep ","1964","21"
"37911","De New Mutants ","21"," Vaderdag"
"37912","Robbedoes Weekblad ","1952","655"
"37913","De Partners ","3"," Spionage!"
"37914","Knocky Magazine "," 2014 11 "," Februari"
"37915","De Koene Ridder ","15"," Valstrik In Kiev"
"37916","Titeuf ","6"," Hoi, Wrede Wereld"
"37917","Tex Willer ","76"," Rode Zonsondergang!"
"37918","Betelgeuze ","2"," De Overlevenden"
"37919","Donald Duck Winterboeken ","34"," Winterboek 2015 (2014)"
"37920","Soda ","13"," Verrijzenis"
"37921","De Duistere Steden ","11"," De Onzichtbare Grens Deel 1 (Andere scan)"
"37922","Marsupilami ","21"," Red Monster"
"37923","Spawn ","17"," Geschiedenis"
"37924","Suske En Wiske HQ ","298"," De Elfstedenstunt"
"37925","Lucifera ","119"," Even Over... Naar De Hel!"
"37926","Axel Moonshine ","11"," Het Masker Van Kohm"
"37927","Frank Margerin ","5"," Radio Lucien"
"37928","Tina ","1971","28"
"37929","Garfield "," I01 "," Het Beste Van Garfield 1"
"37930","Wolverine ","59"," De Beste Die Er Is, Deel 1 & 2"
"37931","De Stripspeciaalzaak ","44"," Nummer 44"
"37932","Losstaande Albums Van Lucie Durbiano ","1"," Schat!"
"37933","Donald Duck ","1976","53"
"37934","Elfquest De Verborgen Jaren ","14"," Heldenverering"
"37935","Woestijnschorpioenen "," A03 "," Zeewind"
"37936","Kuifje Weekblad ","1964","23"
"37937","Robbedoes Weekblad ","2002","3373"
"37938","Kuifje Weekblad ","1979","34"
"37939","Watchmen ","3"," Deel 03"
"37940","Kuifje Weekblad ","1971","37"
"37941","Conny ","6"," Iedereen Houdt Van Jessica"
"37942","Donald Duck ","1954","38"
"37943","Robbedoes Weekblad ","1955","788"
"37944","Robbedoes Weekblad ","1999","3218"
"37945","Largo Winch ","1"," De Erfgenaam"
"37946","Michel Vaillant ","0"," Korte Verhalen"
"37947","Plezier Met Sjors ","1"," Deel 01"
"37948","Akim Held Van De Jungle "," C033 "," Nacht Der Beslissing"
"37949","Pep ","1973","36"
"37950","TV2000 ","1968","40"
"37951","Tina ","1970","31"
"37952","Donald Duck ","2000","39"
"37953","Robbedoes Weekblad ","1962","1239"
"37954","Rubine ","9"," Modelstad"
"37955","Robbedoes Weekblad ","1985","2478"
"37956","Kuifje Weekblad ","1951","23"
"37957","Star Wars "," P2012 ","6"
"37958","Jommeke "," S17 "," Strandzeilen Met Jommeke (1995)"
"37959","Korak De Zoon Van Tarzan "," B17 "," Korak Laat Zijn Tanden Zien + De Kostbare Maansteen"
"37960","Kuifje Weekblad ","1971","17"
"37961","Wordt Vervolgd ","78"," Nummer 78"
"37962","Robbedoes Weekblad ","1996","3019"
"37963","Pony Club ","226"," Nummer 226"
"37964","Sjors ","1967","30"
"37965","Eppo Wordt Vervolgd ","1987","6"
"37966","Cupido ","5"," De Regenboog"
"37967","Alleen Op De Wereld "," B02 "," Deel 02 (Semic press)"
"37968","Silvester Van Rochefort ","2"," De Uitgestotenen"
"37969","Suske En Wiske Weekblad ","2001","32"
"37970","Laurel En Hardy ","47"," Kijk Op Kunst"
"37971","De Collectie Getekend ","35"," Sykes"
"37972","Super Kuifje ","13"," Natuur"
"37973","Akim Held Van De Jungle "," C056 "," Yoko's Streek"
"37974","Buck Danny ","48"," Strijd Boven De Bergen"
"37975","De Verborgen Geschiedenis ","27"," Santa Muerte"
"37976","Schipbreuk In De Tijd ","5"," Hersenschimmen (Bewerkt)"
"37977","Peter Parker, De Spectaculaire Spiderman ","47"," Papa Gaat Een Avondje Uit"
"37978","Sjors ","1965","2"
"37979","Robbedoes Weekblad ","1976","1977"
"37980","De Avonturen Van Kapitein Rob ","58"," De Saboteurs Van Satanza (1962)"
"37981","Robbedoes Weekblad ","1982","2310"
"37982","Popeye "," B43 "," De Houthakkers"
"37983","Sjors ","1967","17"
"37984","Wayne Redlake ","1"," 500 Geweren"
"37985","Donald Duck Vakantieboeken ","18"," Vakantieboek 1995"
"37986","Donald Duck ","1983","19"
"37987","W817 ","9"," De Witte Woede"
"37988","Kramikske "," A07 "," De Edele Lookworst"
"37989","Fantastic Four Special ","34"," De Tijdstroom In!"
"37990","Milana & Arlof ","1"," Metcalf"
"37991","Ta� Dor ","2"," Het Masker Van Ta� Dor"
"37992","Peter Parker, De Spectaculaire Spiderman ","84"," Hoofdbrekens (Een Sprookje Van De Gebroeders Grimm)"
"37993","Robbedoes Weekblad ","1996","3044"
"37994","Apenplaneet ","9"," Het Purperen Toverwerk Van Lichtsmid"
"37995","Robbedoes Weekblad ","2003","3422"
"37996","Kuifje Weekblad ","1955","45"
"37997","Donald Duck ","1983","15"
"37998","Donald Duck En Andere Verhalen ","22"," Deel 22"
"37999","Durfal ","19"," Zei De Nachtraaf Nimmermeer"
"38000","Nestor Burma ","1"," Sluiers Over De Pont De Tolbiac"
"38001","De Rode Ridder (Kleur) ","21"," De Wilde Horde"
"38002","Bessy ","113"," Bij De Ivoorjagers"
"38003","Tarzan (Classics) ","210"," De Vleesetende Monstervogel"
"38004","Clifton "," C02 "," Clifton In New York"
"38005","Illustrated Classics ","25"," The Odyssee"
"38006","India Dreams ","1"," Wegen In De Mist"
"38007","Eric De Noorman ","32"," Het Raadsel Van Tuaim Mor"
"38008","Donald Duck ","1954","16"
"38009","Luxley ","1"," Het Boze Oog"
"38010","Liefde En Geluk "," B03 "," Zoek Been!"
"38011","De Vier Ruiters Van De Apocalyps ","1"," Tocht Door De Hel"
"38012","Joop Klepzeiker ","15"," Rechtdoorzee"
"38013","Asterix "," S03 "," Uderzo In Beeld Gebracht Door Zijn Vrienden"
"38014","Pokervrouw "," S01 "," Het Eiland Van Dokter Von"
"38015","Donald Duck ","1993","5"
"38016","Korak De Zoon Van Tarzan ","73"," De Geheimzinnige Pygmee�n"
"38017","Donald Duck ","1986","39"
"38018","Kuifje Weekblad ","1976","18"
"38019","Trigi� ","1"," De Strijd Om Trigi�"
"38020","Ardoukoba ","1"," De Schat Van Sheba"
"38021","De Rose Panter "," F04 "," Een Hopeloos Geval!"
"38022","Tina ","1972","3"
"38023","Bamse "," A10 "," Neef Texas En Jack"
"38024","Levenslijnen ","3"," De Afrikaanse Val"
"38025","Jezab, De Zeevaarder ","27"," Het Recht Overwint"
"38026","Jommeke ","10"," De Straalvogel (Kleur)"
"38027","Robbedoes Weekblad ","1992","2809"
"38028","Akim Held Van De Jungle "," C132 "," De Jungle Is Zwijgzaam"
"38029","Tarzan (Classics) ","257"," Tarzan En De Wraak Van Zimbad"
"38030","Robbedoes Weekblad ","1959","1084"
"38031","Zwarte Reeks ","60"," Vanessa"
"38032","Kappie "," B03 "," De Vreemde Kolenlading + Het Wrak Van De Lupine"
"38033","Donald Duck ","2001","8"
"38034","Sjors ","1971","8"
"38035","Robbedoes Weekblad ","1990","2736"
"38036","Super Reeks ","411"," De Ijszee In Vlammen"
"38037","A Game Of Thrones ","8"," Boek 8"
"38038","De Rode Ridder (Kleur) ","166"," De Drakenmeester"
"38039","Fred Julsing Vertelt Een Sprookje... ","3"," De Gouden Vogel"
"38040","Tina ","2011","38"
"38041","His Majesty's Ship ","6"," Het Bloed Van Caroline"
"38042","Sha ","1"," Schaduw ��n"
"38043","Groene Lantaarn ","2712"," De Andere Groene Lantaarn"
"38044","Paper (tijdschrift) ","2011","15"
"38045","Pep ","1966","38"
"38046","Superboy En Het Legioen Der Superhelden ","4"," Het Toppunt Van Wraak"
"38047","De Onnoembaren ","3"," Gele Geschiedenis"
"38048","La�yna ","2"," De Teloorgang Van De Elfen"
"38049","Pep ","1963","46"
"38050","Maja De Bij "," B13 "," De Hoofdprijs"
"38051","Zwarte Reeks ","57"," Madoline"
"38052","Jamin Junior ","3"," Nummer 03"
"38053","MAD ","213"," Nummer 213"
"38054","Tarzan (Metropolis) ","34"," Onder Smokkelaars"
"38055","Conny ","2"," Steffie Vindt Een Vriend"
"38056","Lasso ","380"," Adam Met 1000 Levens"
"38057","De Avonturen Van Nero En Co ","95"," Het Beest Zonder Naam"
"38058","Donald Duck ","1957","20"
"38059","Batman ","31"," Een Eenzame Plek Om Te Sterven. Verdachten"
"38060","Suske En Wiske HQ ","283"," Paniek In Palermo"
"38061","Stunt ","45"," De Tranen Van Othello"
"38062","Donald Duck ","1953","8"
"38063","Donald Duck ","1986","32"
"38064","Tina Topstrip ","11"," Sonja En De Mysterieuze Zwemcoach"
"38065","Filmstrips ","16"," Frank En Frey"
"38066","Pony Club ","258"," Nummer 258"
"38067","Macabre ","8"," Deel 08"
"38068","Kuifje Weekblad ","1986","4"
"38069","Kuifje Weekblad ","1977","40"
"38070","Korak De Zoon Van Tarzan ","67"," Hinderlaag In De Duivelskloof"
"38071","Victoria "," B258 "," Alles Of Niets"
"38072","Paper (Tijdschrift) ","2008","6"
"38073","Suske En Wiske HQ ","255"," De Mompelende Mummie"
"38074","Donald Duck ","1953","51"
"38075","Tina ","1988","6"
"38076","Lasso ","190"," Vuur In Dos Pinos"
"38077","Marvel Special ","15"," Moonknight"
"38078","Strijd Classics ","11124"," Lafhartigheid In Het Aangezicht Van De Vijand"
"38079","Robbedoes Weekblad ","1990","2718"
"38080","Kraaienhove "," B02 "," Kraaienhoven 2"
"38081","Akim Held Van De Jungle ","53"," Kapitein Sandoz"
"38082","Donald Duck Pocket S3 ","81"," Post Voor De Kerstman"
"38083","Kuifje Weekblad ","1982","44"
"38084","Samson & Gert Krant ","64"," Nummer 064"
"38085","MacCoy ","14"," De Zoutwoestijn"
"38086","Plezier Met Sjors ","3"," Deel 03"
"38087","Samson & Gert Krant ","14"," Nummer 014"
"38088","De Krijgsheren ","6"," De Meesters Van Kelhin"
"38089","Donald Duck ","1989","41"
"38090","Mirakel Man ","16"," Van De Aarde Verbannen"
"38091","Tarzan (Atlantic) ","5"," De Witte Panter + De Moerasgoden + De Wrede Jacht"
"38092","De Oneven Orde ","4"," Parijs 1791"
"38093","Filmstrips ","24"," Aladin En De Dievenkoning"
"38094","Pep ","1972","34"
"38095","Casus ","5"," Goudkoorts"
"38096","De Avonturen Van Nero En Co ","73"," Het Spook Van Zoetendaal"
"38097","Donald Duck ","1958","11"
"38098","Bram Jager En Zijn Buur ","7"," De Ford T Aan De Zwabber"
"38099","G.Raf Zerk ","11"," De Tand Des Doods"
"38100","Donald Duck ","1957","34"
"38101","Woody Woodpecker (Classics) ","4"," Hakkie Specht, Woody Woodpecker Album Nr 4"
"38102","Suske En Wiske ","116"," De Bronzen Sleutel"
"38103","Tina ","1982","29"
"38104","Karl May ","77"," De Wraak Van Jonge Eekhoorn"
"38105","Kroniek Der Guldensporenslag ","4"," Zomer"
"38106","Sjors ","1957","51"
"38107","Woutertje Pieterse ","2"," Multatuli's Woutertje Pieterse 2"
"38108","Gunsmoke "," A01 "," Beschermer Van Zijn Broer"
"38109","Vader & Zoon ","12"," Vader & Zoon Draven Door"
"38110","Stripschrift ","181"," Nummer 181"
"38111","Sjors ","1964"," 06 (Andere scan)"
"38112","De Koene Ridder "," S06 "," Galagrenant De Geweldige"
"38113","Tarzan (Classics) ","134"," Dodelijk Dubbelspel"
"38114","Suske En Wiske Weekblad ","1998","34"
"38115","Kuifje Weekblad ","1955","36"
"38116","Spawn ","53"," Duizend Clowns"
"38117","Maigret ","2"," Maigret En De Maniak Van Montmartre"
"38118","Joop Klepzeiker ","10"," Deel 10"
"38119","Disneyland ","1973","18"
"38120","Mickey Magazine ","271"," Deel 271"
"38121","Kuifje "," DIV04 "," Agenda Weekblad Kuifje 1984"
"38122","Mickey Mouse & Donald Duck ","5"," Lekker Aanmodderen"
"38123","Donald Duck ","1973","11"
"38124","Dan Cooper ","12"," Luchtacrobaten"
"38125","Paling En Ko ","5"," Het Geval Van De Stokvis"
"38126","Lasso ","155"," Bugsy's Laatste Gevecht"
"38127","De Eenhoorn ","2"," Ad Naturam"
"38128","Sammy ","5"," De Lijfwacht Met Acht Poten"
"38129","Pocket Classics ","19"," De Troonopvolger"
"38130","Zonneland ","1957","14"
"38131","Popeye "," F31 "," En De Prinses"
"38132","Tina ","1986","38"
"38133","Sjors ","1969","40"
"38134","Mannetje & Mannetje ","1"," De Vrouwenmachine (Samengesteld + uitgebreid)"
"38135","Humor In Beroepen ","7"," Computergekken"
"38136","Lucifera ","97"," Die Van Allah Is Groot!"
"38137","Coutoo ","1"," Coutoo"
"38138","Garry "," A02 "," Het Verloren Eiland"
"38139","Mickey Mouse & Donald Duck ","8"," Een Goocheme Goochelaar"
"38140","Kuifje Weekblad ","1987","48"
"38141","Conan ","6"," De Strijd Tegen Toth Amon"
"38142","Sjors En Sjimmie ","23"," Het Verdwijnmiddel"
"38143","Dommel ","12"," Dommel Bakt Ze Bruin"
"38144","Dan Cooper ","8"," Het Escadrille Van De Jaguars"
"38145","Navy ","12"," Lafheid Eist Zijn Tol"
"38146","De Pioniers Van De Nieuwe Wereld ","19"," De Opstandelingen"
"38147","Lasso ","156"," Bedrog En Leugen"
"38148","Televisie Favorieten ","14"," Mister Magoo"
"38149","Yoko Tsuno ","21"," De Poort Van De Zielen"
"38150","Eppo Wordt Vervolgd ","1986","11"
"38151","Follies ","6"," Luna Calente"
"38152","Het Ardennen Offensief ","1"," Het Ardennen Offensief"
"38153","Batman Classics ","131"," De Geheimen Van Batmans Grot + De Geschiedenis Neemt Wraak!"
"38154","Rooie Oortjes ","19"," Deel 19"
"38155","Donald Duck ","1965","8"
"38156","Donald Duck ","1972","44"
"38157","Pep ","1970","34"
"38158","The Dark Crystal ","1"," The Dark Crystal"
"38159","Mickey Maandblad ","1982","2"
"38160","Eppo Wordt Vervolgd ","1986","14"
"38161","Swamp Thing ","4"," Deel 04"
"38162","De Wezentrein ","4"," Joey"
"38163","De Phaeton ","5"," Het Land Van De Duizend Meren"
"38164","The Black Hawk Line ","1"," Terug In China"
"38165","Donald Duck ","1997","52"
"38166","Sjors ","1962","7"
"38167","De Blauwbloezen ","29"," Buiten Westen"
"38168","Sheriff Classics ","146"," Kid Colt"
"38169","Sjors ","1953","28"
"38170","Robbedoes Weekblad ","1998","3122"
"38171","Tex Willer ","77"," Mensenjacht"
"38172","O'Boys ","1"," Het Bloed Van De Mississippi"
"38173","Stripschrift ","309"," Nummer 309"
"38174","Akim Held Van De Jungle "," B18 "," Akim Gevangen"
"38175","Laurel En Hardy ","141"," Ollie En Stan Gaan In De Handel!"
"38176","Zonneland ","1952","35"
"38177","Suske En Wiske Weekblad ","2001","1"
"38178","Collectie Code ","6"," De Vrienden Van De Loue"
"38179","Jommeke ","39"," Lieve Choco"
"38180","Piet Pienter En Bert Bibber "," S03 "," Op Het Spoor Van Pom (Bewerkt)"
"38181","Pep ","1969","37"
"38182","Robbedoes Weekblad ","1980","2223"
"38183","Eppo ","1977","7"
"38184","Battle Chasers ","2"," Macht"
"38185","Donald Duck ","1972","10"
"38186","Rawhide Kid "," B10 "," De Spookstad"
"38187","Sherman ","3"," De Hartstocht, Lana"
"38188","Kuifje Weekblad ","1955","50"
"38189","Het Graf Van Dracula ","3"," De Ochtenstond... Heeft Moord In De Mond + De Nacht Van De Vampier"
"38190","Lo�c Francoeur ","2"," Het Monster Van Youdig (Andere scan)"
"38191","Champions ","1"," Zidane"
"38192","Donald Duck ","1953","6"
"38193","Stam & Pilou ","22"," De Geestelijke Vaders"
"38194","Inlandsis ","3"," De Nalatenschap Van De Eerste Mensen"
"38195","Gorn ","4"," Hemelbloed"
"38196","Lincoln ","1"," Houten Kop"
"38197","Robbedoes Weekblad ","2001","3293"
"38198","De Verborgen Grenslijn ","1"," De Purperen Dageraad"
"38199","Lucifera ","136"," De Boetelingen (ZW)"
"38200","Sjors ","1940","21"
"38201","Robert En Bertrand ","93"," De Gouden Poort"
"38202","Kiekeboe ","46"," Konstantinopel In Istanboel"
"38203","Kuifje Weekblad ","1983","21"
"38204","Luitenant Blueberry ","24"," Mister Blueberry"
"38205","Piraten ","2"," De Goede Hoop"
"38206","Stunt ","6"," Spoedoperatie!"
"38207","Robbedoes Weekblad ","2003","3389"
"38208","Penthouse Comics Magazine ","36"," Deel 36"
"38209","Robbedoes Weekblad ","1952","660"
"38210","Donald Duck ","1967","31"
"38211","Fokke & Sukke "," 2014 03 "," Maart"
"38212","Donald Duck Extra "," 1986 03 "," Stripgoed 38 De Schat Van Dick Duckson"
"38213","Peter Parker, De Spectaculaire Spiderman ","19"," Het Antwoord"
"38214","Donald Duck ","1991","15"
"38215","Tibor, Zoon Van Het Oerwoud ","174"," Belogen!"
"38216","De Smurfen "," S01 "," Smurfenstreken 1"
"38217","Corentin ","1"," De Fantastische Avonturen Van Corentin"
"38218","SjoSji ","1998","1"
"38219","Robbedoes Weekblad ","1975","1966"
"38220","Lucky Luke "," S03 "," Een Schot In De Prairie"
"38221","Oorlog "," Maxi69 "," Positie 'Hopeloos'"
"38222","Penthouse Comics Magazine ","8"," Deel 08"
"38223","Suske En Wiske HQ ","191"," De Vergeten Vallei + Toffe Tiko"
"38224","Stripschrift ","79"," Nummer 079"
"38225","Op De Zeilplank ","1"," Op De Zeilplank"
"38226","Tarzan (Classics) ","238"," De Ontembare Deel 2"
"38227","Kuifje Weekblad ","1970","39"
"38228","Tina Topstrip ","58"," Wilma En Willy"
"38229","Sheriff King ","1"," Schoten Aan De Grens"
"38230","Suske En Wiske Reclame ","0"," 50 Jaar Suske En Wiske Geschiedenis In Strip"
"38231","The Darkness ","10"," No Mercy"
"38232","Bij Sjaak, Tussen Pot En Pint ","11"," Makkelijk Zat"
"38233","Theodoor Cleysters ","12"," Jaloezie�n"
"38234","Prins Valiant ","21"," De Ontvoering Van Aleta"
"38235","Gorn ","1"," Zelfs De Dood"
"38236","Bessy Natuurkommando ","12"," De Nacht Van De Ooievaar"
"38237","Borgia ","4"," Alles Is Ijdelheid"
"38238","Robbedoes Weekblad ","2001","3319"
"38239","Playcolt ","9"," Baron Samedi"
"38240","Papyrus ","16"," De Heer Der Krokodillen"
"38241","Jeremiah ","22"," Een Geweer In Het Water"
"38242","Sjors En Sjimmie Stripblad ","1994","14"
"38243","Robbedoes Weekblad ","1973","1855"
"38244","Losstaande Albums Van Peter De Wit ","3"," Polderburka's"
"38245","Griezel Classics ","2"," De Beul"
"38246","Suske En Wiske Plus ","21"," De Geverniste Zeerovers"
"38247","Jonathan Cartland ","6"," De Vloek Van Het Water"
"38248","Kuifje Weekblad ","1976","1"
"38249","Robbedoes Weekblad ","1976","1980"
"38250","Donald Duck En Andere Verhalen ","11"," Deel 11"
"38251","Mickey Maandblad ","1988","8"
"38252","Sjors En Sjimmie ","19"," Bij De Baanbrekers"
"38253","Conan De Barbaar ","6"," Koning Toth Amon"
"38254","De Avonturen Van Kapitein Rob ","33"," De Speurtocht Van De Vrijheid (1954)"
"38255","Cowboy Henk "," B02 "," De Verzamelde Werken Deel 2"
"38256","Pep ","1973","20"
"38257","De Wonderbaarlijke Spinneman ","43"," De Komst Van De Kangoeroe"
"38258","Kiekeboe ","67"," Het Geslacht Kinkel"
"38259","Het Laatste Nieuws ","4"," Het Grote Winterstripboek"
"38260","De Beverpatroelje ","30"," Bliksemsteen"
"38261","Tarzan (Classics) ","173"," De Zwarte Mensenjager"
"38262","Donald Duck ","1958","6"
"38263","De Smurfen "," S02 "," Smurfenstreken 2"
"38264","Oorlog "," Mini233 "," De Doden Missie"
"38265","Kuifje Weekblad ","1950","51"
"38266","Ada Enigma ","1"," De Spoken Van Ca�ro"
"38267","Sjors ","1964","39"
"38268","Alwin ","2"," Valstrik Op Malta"
"38269","Sjors En Sjimmie Extra ","1992","25"
"38270","Vlad ","6"," Operatie Zondvloed"
"38271","De Avonturen Van Een Vader En Zijn Zoon ","6"," Deel 06"
"38272","Ton En Tinneke "," P02 "," Negentien Avonturen Van Ton En Tinneke"
"38273","Oom Dagobert ","26"," In Duel Met Zwarte Magica"
"38274","Aram Van De Eilanden "," B25 "," De Vorst Van Suprania"
"38275","Oberon Strips "," A35 "," Professor A.B.C. Breinbreier (Genie) Deel 2"
"38276","Martin Evans ","1"," Het Venuskruid"
"38277","Robbedoes Weekblad ","1987","2570"
"38278","Donald Duck Extra "," 2008 09 "," Pionier In De Penarie"
"38279","Zwarte Reeks ","17"," Het Meisjesinternaat"
"38280","TV2000 ","1966","41"
"38281","Sjors ","1953","2"
"38282","Sheriff Classics ","43"," De Wraak Van Rode Raaf!"
"38283","Illustrated Classics ","188"," De Slopende Jacht!"
"38284","Lasso ","395"," Met Een Been In De Hel"
"38285","Robbedoes Weekblad ","1991","2781"
"38286","De Rode Ridder (Kleur) ","247"," De Klauw"
"38287","Soeperman "," B01 "," Redt Het Wel Alleen"
"38288","Donald Duck ","1996","33"
"38289","De Avonturen Van Kapitein Rob ","13"," De Schat Van Opa Larsen (1949)"
"38290","Verloren Paradijs ","1"," De Hel"
"38291","Kuifje Weekblad ","1983","48"
"38292","De Rode Ridder (Kleur) ","14"," De Galmende Kinkhoorns"
"38293","Conan De Barbaar ","6"," De Krijger En De Wolfsvrouw"
"38294","Zwarte Reeks ","94"," Ninon 2 Ninon Als Slavin"
"38295","Robbedoes Weekblad ","2002","3330"
"38296","De Tocht Van De Zeemeeuwen ","1"," De Wraak Van Tiki"
"38297","Turbo ","12"," Wellustige Kwelling"
"38298","Jan, Jans En De Kinderen ","18"," Deel 18"
"38299","Stripschrift ","257"," Nummer 257"
"38300","Dubbelmasker ","6"," Hermelijn"
"38301","Puk En Poppedijn ","3"," Deel 03"
"38302","Guust Flater "," N13 "," Die Reuze Flater"
"38303","De Wondersloffen Van Sjakie ","22"," Overlopers"
"38304","Commando Classics ","71"," Zijn Geweten"
"38305","De Avonturen Van Urbanus ","22"," De Gesloten Koffer"
"38306","Donald Duck ","1973","26"
"38307","Spiritus Et Sancti ","1"," Complot In Daguelloz (Andere scan)"
"38308","XIII Mystery ","2"," Irina"
"38309","Arboris Stripselectie ","5"," De Opstand Der Bataven"
"38310","De Avonturen Van Charlotte ","5"," De Godencirkel"
"38311","Donald Duck ","1963","8"
"38312","Donald Duck ","1990","41"
"38313","Batman ","69"," Pion"
"38314","Sjors ","1969","27"
"38315","Er Was Eens Een Voorbijganger ","5"," De Jacht (1983)"
"38316","Pep ","1966","11"
"38317","Kari Lente ","5"," De Blonde Panter (1966)"
"38318","Rooie Oortjes ","37"," Deel 37"
"38319","Jonathan ","11"," Greyshore Island"
"38320","Woody Woodpecker (Semic Press) ","76"," Kruik Op Hol"
"38321","K3 ","15"," Het Dierenparadijs"
"38322","Fantoom "," D02 "," In Dienst Van De Duivel"
"38323","Agent 212 ","27"," Wilde Achtervolging"
"38324","Tatjana K. ","3"," Het Stigma Van Longinus"
"38325","Tibor, Zoon Van Het Oerwoud ","76"," De Laatste Strijd"
"38326","Liefde Op Leeftijd ","1"," Liefde Op Leeftijd"
"38327","Illustrated Classics ","169"," De Vorst Van Otranto"
"38328","Robbedoes Weekblad ","1996","3026"
"38329","Donald Duck ","1974","23"
"38330","Olivier Blunder "," S01 "," Praatmaker"
"38331","Soeperman ","2"," De 11e Dimensie"
"38332","Sheriff Classics ","16"," De Schrik Van Het Westen"
